0:>MT664808.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC194b/2020, complete genome
1:>MT764181.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/COVID20-0077/2020, complete genome
2:>MW733364.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-CDC-22289621/2021, complete genome
3:>MW070088.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NMDOH-2020321619/2020, complete genome
4:>MW277472.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC16229/2020, complete genome
